transactID,account,currency,transactType,amount,fee,transactStatus,address,tx,text,timestamp,walletBalance,marginBalance
349d4baf-2981-1083-fdbd-722489b0b15c,1501242,XBt,RealisedPNL,-826055,0,Completed,XBTUSD,496ff5c1-b2f8-52ed-3082-0be44e13623e,"",2021-11-24T12:00:00.004Z,6214786503,
1ae4328a-0c6c-f942-664a-16d68d41cd54,1501242,XBt,RealisedPNL,-833825,0,Completed,LTCUSD,496ff5c1-b2f8-52ed-3082-0be44e13623e,"",2021-11-24T12:00:00.004Z,6214786503,
f9c0edea-eb91-cf06-7010-6dbf14eb8cd7,1501242,XBt,RealisedPNL,-154962,0,Completed,XRPUSD,a8b67d17-9108-9e1c-7b85-0eaaca5ae2af,"",2021-11-23T12:00:00.004Z,6210914256,
e0759aa9-e31e-1b36-50d9-bfc07bd1dc9c,1501242,XBt,RealisedPNL,3616,0,Completed,ETHZ21,a8b67d17-9108-9e1c-7b85-0eaaca5ae2af,"",2021-11-23T12:00:00.004Z,6210914256,
b2faf0dc-e60b-31d2-bbe0-ba42b45fdc74,1501242,XBt,RealisedPNL,2349325,0,Completed,XBTUSD,a8b67d17-9108-9e1c-7b85-0eaaca5ae2af,"",2021-11-23T12:00:00.004Z,6210914256,
8bea3c39-af6e-2156-1bb1-d203d6d8b8e1,1501242,XBt,RealisedPNL,-773537,0,Completed,LTCUSD,a8b67d17-9108-9e1c-7b85-0eaaca5ae2af,"",2021-11-23T12:00:00.004Z,6210914256,
1a7b68c3-b1ad-3505-1fcf-f8606463a848,1501242,XBt,RealisedPNL,8138411,0,Completed,ETHUSD,a8b67d17-9108-9e1c-7b85-0eaaca5ae2af,"",2021-11-23T12:00:00.004Z,6210914256,
dadad8dd-2c13-decb-dc41-32fb04c2829a,1501242,XBt,RealisedPNL,-77156,0,Completed,TRXZ21,23356122-ff43-ac1b-4808-f12c2d59750e,"",2021-11-22T12:00:00.016Z,6201351403,
cc4cd0e6-c9d1-eb01-e799-977bce7b04a2,1501242,XBt,RealisedPNL,-160379,0,Completed,XRPUSD,23356122-ff43-ac1b-4808-f12c2d59750e,"",2021-11-22T12:00:00.016Z,6201351403,
b18b37fc-4d3c-a69e-6e0c-5c00f0063b3f,1501242,XBt,RealisedPNL,1457,0,Completed,ETHZ21,23356122-ff43-ac1b-4808-f12c2d59750e,"",2021-11-22T12:00:00.016Z,6201351403,
a5988348-2ee4-acb4-4c0c-73036cde1680,1501242,XBt,RealisedPNL,2060574,0,Completed,XBTUSD,23356122-ff43-ac1b-4808-f12c2d59750e,"",2021-11-22T12:00:00.016Z,6201351403,
9f932596-6fc6-5967-3b85-33c8f0fa3707,1501242,XBt,RealisedPNL,-888695,0,Completed,LTCUSD,23356122-ff43-ac1b-4808-f12c2d59750e,"",2021-11-22T12:00:00.016Z,6201351403,
4e7b8f92-d8fb-c5d6-5de5-79393b60c81b,1501242,XBt,RealisedPNL,-7149100,0,Completed,ETHUSD,23356122-ff43-ac1b-4808-f12c2d59750e,"",2021-11-22T12:00:00.016Z,6201351403,
e7e6d6e3-4e5b-125f-cb1b-e89e844ac9e2,1501242,XBt,RealisedPNL,2142044,0,Completed,XBTUSD,d8e83bea-65da-3953-831d-82b6ec46442a,"",2021-11-21T12:00:00.004Z,6207564702,
8f58dbc9-4200-a830-f338-c6e6023ea822,1501242,XBt,RealisedPNL,-197583,0,Completed,XRPUSD,d8e83bea-65da-3953-831d-82b6ec46442a,"",2021-11-21T12:00:00.004Z,6207564702,
198d8a68-a80e-c7c2-41ab-970e564ecf59,1501242,XBt,RealisedPNL,2570849,0,Completed,LTCUSD,d8e83bea-65da-3953-831d-82b6ec46442a,"",2021-11-21T12:00:00.004Z,6207564702,
0319d727-0aab-b398-fe35-e4675a82a732,1501242,XBt,RealisedPNL,20617801,0,Completed,ETHUSD,d8e83bea-65da-3953-831d-82b6ec46442a,"",2021-11-21T12:00:00.004Z,6207564702,
9a53030e-ab41-e574-665e-d4c9e975e449,1501242,XBt,RealisedPNL,9399744,0,Completed,ETHZ21,835ecfdb-9771-1afd-25e3-a8ebc238aeb6,"",2021-11-20T12:00:00.015Z,6182431591,
